易发TV-香蕉出品,#genre#
(大街)AMC电影台,http://61.221.215.25:8800/hls/43/index.m3u8
(大街)凤凰资讯,http://61.221.215.25:8800/hls/47/index.m3u8
(大街)纬来精彩,http://61.221.215.25:8800/hls/48/index.m3u8
(大街)49号,http://61.221.215.25:8800/hls/49/index.m3u8
(大街)探索亚洲,http://61.221.215.25:8800/hls/50/index.m3u8
(大街)八大第一,http://61.221.215.25:8800/hls/55/index.m3u8
(大街)动物星球,http://61.221.215.25:8800/hls/57/index.m3u8
(大街)八大综合,http://61.221.215.25:8800/hls/56/index.m3u8

湾湾新闻,#genre#
(2线)鳳凰資訊,http://ytb.csscc.cc:2086/live.m3u8?c=1
(2线)中視新聞,http://ytb.csscc.cc:2086/live.m3u8?c=2
(2线)三立新聞,http://ytb.csscc.cc:2086/live.m3u8?c=3
(2线)寰宇新聞,http://ytb.csscc.cc:2086/live.m3u8?c=4
(2线)大愛一臺,http://ytb.csscc.cc:2086/live.m3u8?c=5
(2线)東森新聞,http://ytb.csscc.cc:2086/live.m3u8?c=6
(2线)中天新聞,http://ytb.csscc.cc:2086/live.m3u8?c=7
(2线)民視新聞,http://ytb.csscc.cc:2086/live.m3u8?c=8
(2线)大愛二臺,http://ytb.csscc.cc:2086/live.m3u8?c=9
(2线)中天新聞2,http://ytb.csscc.cc:2086/live.m3u8?c=10
(2线)TVBS新聞,http://ytb.csscc.cc:2086/live.m3u8?c=11
(2线)ABC新闻,http://ytb.csscc.cc:2086/live.m3u8?c=12
(2线)公視新聞,http://ytb.csscc.cc:2086/live.m3u8?c=13
(2线)民視戲劇,http://ytb.csscc.cc:2086/live.m3u8?c=14
(2线)國會頻道１,http://ytb.csscc.cc:2086/live.m3u8?c=15
(2线)國會頻道２,http://ytb.csscc.cc:2086/live.m3u8?c=16

(3线)TVBS HD,http://william8073.eu.org:9000/live.m3u8?c=1
(3线)TVBS NEWS,http://william8073.eu.org:9000/live.m3u8?c=2
(3线)TVBS新闻台HD,http://william8073.eu.org:9000/live.m3u8?c=3
(3线)中天新闻,http://william8073.eu.org:9000/live.m3u8?c=4
(3线)中天新闻2,http://william8073.eu.org:9000/live.m3u8?c=5
(3线)中天亚洲台,http://william8073.eu.org:9000/live.m3u8?c=6
(3线)中视新闻,http://william8073.eu.org:9000/live.m3u8?c=7
(3线)东森新闻,http://william8073.eu.org:9000/live.m3u8?c=8
(3线)东森财经新闻HD,http://william8073.eu.org:9000/live.m3u8?c=9
(3线)寰宇新闻台,http://william8073.eu.org:9000/live.m3u8?c=10
(3线)台视新闻HD,http://william8073.eu.org:9000/live.m3u8?c=11
(3线)民视新闻台HD,http://william8073.eu.org:9000/live.m3u8?c=12
(3线)镜新闻mnews,http://william8073.eu.org:9000/live.m3u8?c=13
(3线)LIVE三立,http://william8073.eu.org:9000/live.m3u8?c=14
(3线)三立iNEWS,http://william8073.eu.org:9000/live.m3u8?c=15
(3线)大爱一台,http://william8073.eu.org:9000/live.m3u8?c=16
(3线)大爱二台,http://william8073.eu.org:9000/live.m3u8?c=17
(3线)华视新闻资讯,http://william8073.eu.org:9000/live.m3u8?c=18
(3线)凤凰资讯HD,http://william8073.eu.org:9000/live.m3u8?c=19
(3线)TAIWAN+,http://william8073.eu.org:9000/live.m3u8?c=21
(3线)三立NEWS+,http://william8073.eu.org:9000/live.m3u8?c=22
(3线)国会频道1,http://william8073.eu.org:9000/live.m3u8?c=23
(3线)国会频道2,http://william8073.eu.org:9000/live.m3u8?c=24
(3线)寰宇新闻台湾台,http://william8073.eu.org:9000/live.m3u8?c=26
(3线)寰宇财经台,http://william8073.eu.org:9000/live.m3u8?c=27
(3线)中视经典综艺,http://william8073.eu.org:9000/live.m3u8?c=28
(3线)中视台湾志,http://william8073.eu.org:9000/live.m3u8?c=29
(3线)华视天才冲冲冲,http://william8073.eu.org:9000/live.m3u8?c=30
(3线)中视大陆寻奇,http://william8073.eu.org:9000/live.m3u8?c=37
(3线)新唐人亚太台,http://william8073.eu.org:9000/live.m3u8?c=38

HK 地面波,#genre#
(1线)翡翠台,http://183.33.192.19:8000/bysid/1
(1线)ViuTVsix,http://183.33.192.19:8000/bysid/96
(1线)ViuTV,http://183.33.192.19:8000/bysid/99

(4线)翡翠台,http://59.33.5.235:8895/bysid/1
(4线)ViuTVsix,http://59.33.5.235:8895/bysid/96
(4线)ViuTV,http://59.33.5.235:8895/bysid/99
(4线)明珠台,http://59.33.5.235:8896/bysid/2
(4线)TVB Plus,http://59.33.5.235:8896/bysid/82
(4线)無綫新聞台,http://59.33.5.235:8896/bysid/83
(4线)鳳凰衛視香港台,http://59.33.5.235:8896/bysid/85

(2线)明珠台,http://113.83.152.28:1935/bysid/2
(2线)TVB Plus,http://113.83.152.28:1935/bysid/82
(2线)無綫新聞台,http://113.83.152.28:1935/bysid/83
(2线)鳳凰衛視香港台,http://113.83.152.28:1935/bysid/85
(2线)HOY 國際財經台,http://113.83.152.28:1936/bysid/76
(2线)HOY TV,http://113.83.152.28:1936/bysid/77
(2线)HOY 資訊台,http://113.83.152.28:1936/bysid/78

(5线)明珠台,http://123.202.245.120:8008/bysid/2
(5线)TVB Plus,http://123.202.245.120:8008/bysid/82
(5线)無綫新聞台,http://123.202.245.120:8008/bysid/83
(5线)鳳凰衛視香港台,http://123.202.245.120:8008/bysid/85
(5线)HOY 國際財經台,http://123.202.245.120:8009/bysid/76
(5线)HOY TV,http://123.202.245.120:8009/bysid/77
(5线)HOY 資訊台,http://123.202.245.120:8009/bysid/78

(3线)翡翠台,http://113.88.66.196:8000/bysid/1
(3线)ViuTVsix,http://113.88.66.196:8000/bysid/96
(3线)ViuTV,http://113.88.66.196:8000/bysid/99
(3线)明珠台,http://113.88.66.196:8001/bysid/2
(3线)TVB Plus,http://113.88.66.196:8001/bysid/82
(3线)無綫新聞台,http://113.88.66.196:8001/bysid/83
(3线)鳳凰衛視香港台,http://113.88.66.196:8001/bysid/85
(3线)港台電視 31,http://113.88.66.196:8002/bysid/31
(3线)港台電視 32,http://113.88.66.196:8002/bysid/32

斯玛特,#genre#

华丽翡翠,http://wanjiatv.net/Smartv.php?id=Wlt
翡翠台,http://wanjiatv.net/Smartv.php?id=jade_twn
J2,http://wanjiatv.net/Smartv.php?id=j2_twn
明珠台,http://wanjiatv.net/Smartv.php?id=pearl_twn
无线新闻台,http://wanjiatv.net/Smartv.php?id=inews_twn
财经资讯台,http://wanjiatv.net/Smartv.php?id=tvbcaijing_twn
VIUTV6,http://wanjiatv.net/Smartv.php?id=viusix_twn
VIUTV,http://wanjiatv.net/Smartv.php?id=viu1_twn
TVB星河,http://wanjiatv.net/Smartv.php?id=Xinhe
TVB星河,http://wanjiatv.net/Smartv.php?id=tvbxinhe_twn
TVN,http://wanjiatv.net/Smartv.php?id=TVN
纬来体育,http://wanjiatv.net/Smartv.php?id=videolandsport
纬来日本,http://wanjiatv.net/Smartv.php?id=videolandjapan
纬来电影,http://wanjiatv.net/Smartv.php?id=videolandmovie
天映频道,http://wanjiatv.net/Smartv.php?id=Celestial
探索亚洲,http://wanjiatv.net/Smartv.php?id=discoverytwn_twn
探索频道,http://wanjiatv.net/Smartv.php?id=ba86fcd935
探索,http://wanjiatv.net/Smartv.php?id=discoverych_twn
台视新闻,http://wanjiatv.net/Smartv.php?id=ttvnews_twn
时尚频道,http://wanjiatv.net/Smartv.php?id=fashiontv_twn
中天综合,http://wanjiatv.net/Smartv.php?id=ctizhonghe
中天娱乐,http://wanjiatv.net/Smartv.php?id=ctient
中天新闻,http://wanjiatv.net/Smartv.php?id=ctinews
